"","OldName1","OldName2","FullName","OuterLiner","Flute1","MidLiner","Flute2","InnerLiner","NewName1","NewName3","calliper","theoreticalECT"
"74","T200/T200","B150WB","TT 332 B","DU145","DU125",NA,NA,"DU145","TT","B",3,4.7949825
"75","T200/T200","B130HP","TT 333 B","DU145","HP130",NA,NA,"DU145","TT","B",3,5.09399
"76","T200/T200","B160HP","TT 334 B","DU145","HP160",NA,NA,"DU145","TT","B",3,5.376688
"77","T200/T200","C","TT 331 C","DU145","DU085",NA,NA,"DU145","TT","C",4,4.523116
"78","T200/T200","C150WB","TT 332 C","DU145","DU125",NA,NA,"DU145","TT","C",4,4.8800575
"79","T200/T200","C130HP","TT 333 C","DU145","HP130",NA,NA,"DU145","TT","C",4,5.20189
"80","T200/T200","C160HP","TT 334 C","DU145","HP160",NA,NA,"DU145","TT","C",4,5.506168
"81","T200/T200","DW","TT 331 BC","DU145","DU085","DU085","DU085","DU145","TT","BC",8,5.903572
"82","T200/T200","DW150WB","TT 332 BC","DU145","DU125","DU085","DU125","DU145","TT","BC",8,6.59214
"83","T200/T200","DW130HP","TT 333 BC","DU145","HP130","DU085","HP130","DU145","TT","BC",8,7.21298
"84","T200/T200","DW160HP","TT 334 BC","DU145","HP160","DU085","HP160","DU145","TT","BC",8,7.799956
"85","K200/T200","B","KT 331 B","KL160","DU085",NA,NA,"DU145","KT","B",3,4.712356
"86","K200/T200","B150WB","KT 332 B","KL160","DU125",NA,NA,"DU145","KT","B",3,5.0439825
"87","K200/T200","B130HP","KT 333 B","KL160","HP130",NA,NA,"DU145","KT","B",3,5.34299
"88","K200/T200","B160HP","KT 334 B","KL160","HP160",NA,NA,"DU145","KT","B",3,5.625688
"89","K200/T200","C","KT 331 C","KL160","DU085",NA,NA,"DU145","KT","C",4,4.772116
"90","K200/T200","C150WB","KT 332 C","KL160","DU125",NA,NA,"DU145","KT","C",4,5.1290575
"91","K200/T200","C130HP","KT 333 C","KL160","HP130",NA,NA,"DU145","KT","C",4,5.45089
"92","K200/T200","C160HP","KT 334 C","KL160","HP160",NA,NA,"DU145","KT","C",4,5.755168
"93","K200/T200","DW","KT 331 BC","KL160","DU085","DU085","DU085","DU145","KT","BC",8,6.152572
"94","K200/T200","DW150WB","KT 332 BC","KL160","DU125","DU085","DU125","DU145","KT","BC",8,6.84114
"95","K200/T200","DW130HP","KT 333 BC","KL160","HP130","DU085","HP130","DU145","KT","BC",8,7.46198
"96","K200/T200","DW160HP","TT 334 BC","KL160","HP160","DU085","HP160","DU145","TT","BC",8,8.048956
"97","K200/K200","B","KK 331 B","KL160","DU085",NA,NA,"KL160","KK","B",3,4.961356
"98","K200/K200","B150WB","KK 332 B","KL160","DU125",NA,NA,"KL160","KK","B",3,5.2929825
"99","K200/K200","B130HP","KK 333 B","KL160","HP130",NA,NA,"KL160","KK","B",3,5.59199
"100","K200/K200","B160HP","KK 334 B","KL160","HP160",NA,NA,"KL160","KK","B",3,5.874688
"101","K200/K200","C","KK 331 C","KL160","DU085",NA,NA,"KL160","KK","C",4,5.021116
"102","K200/K200","C150WB","KK 332 C","KL160","DU125",NA,NA,"KL160","KK","C",4,5.3780575
"103","K200/K200","C130HP","KK 333 C","KL160","HP130",NA,NA,"KL160","KK","C",4,5.69989
"104","K200/K200","C160HP","KK 334 C","KL160","HP160",NA,NA,"KL160","KK","C",4,6.004168
"105","K200/K200","DW","KK 331 BC","KL160","DU085","DU085","DU085","KL160","KK","BC",8,6.401572
"106","K200/K200","DW150WB","KK 332 BC","KL160","DU125","DU085","DU125","KL160","KK","BC",8,7.09014
"107","K200/K200","DW130HP","KK 333 BC","KL160","HP130","DU085","HP130","KL160","KK","BC",8,7.71098
"108","K200/K200","DW160HP","KK 334 BC","KL160","HP160","DU085","HP160","KL160","KK","BC",8,8.297956
"109","K300/T300","B","KT 441 B","KL225","DU085",NA,NA,"TL220","KT","B",3,5.251856
"110","K300/T300","B150WB","KT 442 B","KL225","DU125",NA,NA,"TL220","KT","B",3,5.5834825
"111","K300/T300","B130HP","KT 443 B","KL225","HP130",NA,NA,"TL220","KT","B",3,5.88249
"112","K300/T300","B160HP","KT 444 B","KL225","HP160",NA,NA,"TL220","KT","B",3,6.165188
"113","K300/T300","C","KT 441 C","KL225","DU085",NA,NA,"TL220","KT","C",4,5.311616
"114","K300/T300","C150WB","KT 442 C","KL225","DU125",NA,NA,"TL220","KT","C",4,5.6685575
"115","K300/T300","C130HP","KT 443 C","KL225","HP130",NA,NA,"TL220","KT","C",4,5.99039
"116","K300/T300","C160HP","KT 444 C","KL225","HP160",NA,NA,"TL220","KT","C",4,6.294668
"117","K300/T300","DW","KT 441 BC","KL225","DU085","DU085","DU085","TL220","KT","BC",8,6.692072
"118","K300/T300","DW150WB","KT 442 BC","KL225","DU125","DU085","DU125","TL220","KT","BC",8,7.38064
"119","K300/T300","DW130HP","KT 443 BC","KL225","HP130","DU085","HP130","TL220","KT","BC",8,8.00148
"120","K300/T300","DW160HP","KT 444 BC","KL225","HP160","DU085","HP160","TL220","KT","BC",8,8.588456
"121","K300/K300","B","KK 441 B","KL225","DU085",NA,NA,"KL225","KK","B",3,5.749856
"122","K300/K300","B150WB","KK 442 B","KL225","DU125",NA,NA,"KL225","KK","B",3,6.0814825
"123","K300/K300","B130HP","KK 443 B","KL225","HP130",NA,NA,"KL225","KK","B",3,6.38049
"124","K300/K300","B160HP","KK 444 B","KL225","HP160",NA,NA,"KL225","KK","B",3,6.663188
"125","K300/K300","C","KK 441 C","KL225","DU085",NA,NA,"KL225","KK","C",4,5.809616
"126","K300/K300","C150WB","KK 442 C","KL225","DU125",NA,NA,"KL225","KK","C",4,6.1665575
"127","K300/K300","C130HP","KK 443 C","KL225","HP130",NA,NA,"KL225","KK","C",4,6.48839
"128","K300/K300","C160HP","KK 444 C","KL225","HP160",NA,NA,"KL225","KK","C",4,6.792668
"129","K300/K300","DW","KK 441 BC","KL225","DU085","DU085","DU085","KL225","KK","BC",8,7.190072
"130","K300/K300","DW150WB","KK 442 BC","KL225","DU125","DU085","DU125","KL225","KK","BC",8,7.87864
"131","K300/K300","DW130HP","KK 443 BC","KL225","HP130","DU085","HP130","KL225","KK","BC",8,8.49948
"132","K300/K300","DW160HP","KK 444 BC","KL225","HP160","DU085","HP160","KL225","KK","BC",8,9.086456
"133","WT125/T125","B","WTT 111 B","WT130","DU085",NA,NA,"DU085","WTT","B",3,3.799356
"134","WT125/T125","B150WB","WTT 112 B","WT130","DU125",NA,NA,"DU085","WTT","B",3,4.1309825
"135","WT125/T125","B130HP","WTT 113 B","WT130","HP130",NA,NA,"DU085","WTT","B",3,4.42999
"136","WT125/T125","B160HP","WTT 114 B","WT130","HP160",NA,NA,"DU085","WTT","B",3,4.712688
"137","WT125/T125","C","WTT 111 C","WT130","DU085",NA,NA,"DU085","WTT","C",4,3.859116
"138","WT125/T125","C150WB","WTT 112 C","WT130","DU125",NA,NA,"DU085","WTT","C",4,4.2160575
"139","WT125/T125","C130HP","WTT 113 C","WT130","HP130",NA,NA,"DU085","WTT","C",4,4.53789
"140","WT125/T125","C160HP","WTT 114 C","WT130","HP160",NA,NA,"DU085","WTT","C",4,4.842168
"141","WT125/T125","DW","WTT 111 BC","WT130","DU085","DU085","DU085","DU085","WTT","BC",8,5.239572
"142","WT125/T125","DW150WB","WTT 112 BC","WT130","DU125","DU085","DU125","DU085","WTT","BC",8,5.92814
"143","WT125/T125","DW130HP","WTT 113 BC","WT130","HP130","DU085","HP130","DU085","WTT","BC",8,6.54898
"144","WT125/T125","DW160HP","WTT 114 BC","WT130","HP160","DU085","HP160","DU085","WTT","BC",8,7.135956
"145","WT125/WT125","B","WTWT 111 B","WT130","DU085",NA,NA,"WT130","WTWT","B",3,3.890656
"146","WT125/WT125","B150WB","WTWT 112 B","WT130","DU125",NA,NA,"WT130","WTWT","B",3,4.2222825
"147","WT125/WT125","B130HP","WTWT 113 B","WT130","HP130",NA,NA,"WT130","WTWT","B",3,4.52129
"148","WT125/WT125","B160HP","WTWT 114 B","WT130","HP160",NA,NA,"WT130","WTWT","B",3,4.803988
"149","WT125/WT125","C","WTWT 111 C","WT130","DU085",NA,NA,"WT130","WTWT","C",4,3.950416
"150","WT125/WT125","C150WB","WTWT 112 C","WT130","DU125",NA,NA,"WT130","WTWT","C",4,4.3073575
"151","WT125/WT125","C130HP","WTWT 113 C","WT130","HP130",NA,NA,"WT130","WTWT","C",4,4.62919
"152","WT125/WT125","C160HP","WTWT 114 C","WT130","HP160",NA,NA,"WT130","WTWT","C",4,4.933468
"153","WT125/WT125","DW","WTWT 111 BC","WT130","DU085","DU085","DU085","WT130","WTWT","BC",8,5.330872
"154","WT125/WT125","DW150WB","WTWT 112 BC","WT130","DU125","DU085","DU125","WT130","WTWT","BC",8,6.01944
"155","WT125/WT125","DW130HP","WTWT 113 BC","WT130","HP130","DU085","HP130","WT130","WTWT","BC",8,6.64028
"156","WT125/WT125","DW160HP","WTWT 114 BC","WT130","HP160","DU085","HP160","WT130","WTWT","BC",8,7.227256
"157","WT150/T150","B","WTT 221 B","WT130","DU085",NA,NA,"DU125","WTT","B",3,4.052506
"158","WT150/T150","B150WB","WTT 222 B","WT130","DU125",NA,NA,"DU125","WTT","B",3,4.3841325
"159","WT150/T150","B130HP","WTT 223 B","WT130","HP130",NA,NA,"DU125","WTT","B",3,4.68314
"160","WT150/T150","B160HP","WTT 224 B","WT130","HP160",NA,NA,"DU125","WTT","B",3,4.965838
"161","WT150/T150","C","WTT 221 C","WT130","DU085",NA,NA,"DU125","WTT","C",4,4.112266
"162","WT150/T150","C150WB","WTT 222 C","WT130","DU125",NA,NA,"DU125","WTT","C",4,4.4692075
"163","WT150/T150","C130HP","WTT 223 C","WT130","HP130",NA,NA,"DU125","WTT","C",4,4.79104
"164","WT150/T150","C160HP","WTT 224 C","WT130","HP160",NA,NA,"DU125","WTT","C",4,5.095318
"165","WT150/T150","DW","WTT 221 BC","WT130","DU085","DU085","DU085","DU125","WTT","BC",8,5.492722
"166","WT150/T150","DW150WB","WTT 222 BC","WT130","DU125","DU085","DU125","DU125","WTT","BC",8,6.18129
"167","WT150/T150","DW130HP","WTT 223 BC","WT130","HP130","DU085","HP130","DU125","WTT","BC",8,6.80213
"168","WT150/T150","DW160HP","WTT 224 BC","WT130","HP160","DU085","HP160","DU125","WTT","BC",8,7.389106
"169","WT150/WT150","B","WTWT 221 B","WT130","DU085",NA,NA,"WT130","WTWT","B",3,3.890656
"170","WT150/WT150","B150WB","WTWT 222 B","WT130","DU125",NA,NA,"WT130","WTWT","B",3,4.2222825
"171","WT150/WT150","B130HP","WTWT 223 B","WT130","HP130",NA,NA,"WT130","WTWT","B",3,4.52129
"172","WT150/WT150","B160HP","WTWT 224 B","WT130","HP160",NA,NA,"WT130","WTWT","B",3,4.803988
